Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-04-26T17:00:08.201Z","","","Included","gpt-5.5-medium","No","0","59751","50688","65","110504","Included"
"2026-04-26T16:47:48.393Z","","","Included","gpt-5.5-medium","No","0","106468","408576","4424","519468","Included"
"2026-04-26T16:44:57.880Z","","","Included","gpt-5.4-medium","No","0","21393","95104","89","116586","Included"
"2026-04-26T16:40:13.529Z","","","Included","gpt-5.4-medium","No","0","115624","2041984","5421","2163029","Included"
"2026-04-26T16:38:55.508Z","","","Included","gpt-5.5-medium","No","0","137924","6168576","27704","6334204","Included"
"2026-04-26T16:37:34.740Z","","","Included","gpt-5.4-medium","No","0","20452","332288","958","353698","Included"
"2026-04-26T16:35:21.552Z","","","Included","gpt-5.4-medium","No","0","753","73600","416","74769","Included"
"2026-04-26T16:32:33.429Z","","","Included","gpt-5.4-medium","No","0","73773","0","333","74106","Included"
"2026-04-26T16:30:26.226Z","","","Included","gpt-5.5-low","No","0","47225","454144","3682","505051","Included"
"2026-04-24T00:55:38.395Z","","","Included","gpt-5.4-high","No","0","0","0","0","0","Included"
"2026-04-24T00:33:03.067Z","","","Included","gpt-5.4-high","No","0","60565","4092928","26709","4180202","Included"
"2026-04-24T00:08:40.355Z","","","Included","gpt-5.4-high","No","0","16625","64000","2077","82702","Included"
"2026-04-23T23:58:30.037Z","","","Included","gpt-5.4-high","No","0","64317","1129344","12343","1206004","Included"
"2026-04-23T23:34:09.270Z","","","Included","gpt-5.4-high","No","0","87375","678784","39126","805285","Included"
"2026-04-23T23:25:13.786Z","","","Included","claude-opus-4-7-thinking-high","No","2831","6","27887","8","30732","Included"
"2026-04-23T23:21:27.920Z","","","Included","claude-opus-4-7-thinking-high","No","44602","11","821042","8715","874370","Included"
"2026-04-23T23:07:38.404Z","","","Included","claude-opus-4-7-thinking-high","No","202350","18","907638","53377","1163383","Included"
"2026-04-23T22:57:23.352Z","","","Included","claude-opus-4-7-thinking-high","No","0","0","0","0","0","Included"
"2026-04-23T22:42:49.390Z","","","Included","claude-opus-4-7-thinking-high","No","203586","10","354446","16158","574200","Included"
"2026-04-23T22:42:08.791Z","","","Included","claude-opus-4-7-thinking-high","No","100622","20","1268184","17119","1385945","Included"
"2026-04-23T22:39:41.206Z","","","Included","claude-opus-4-7-thinking-medium","No","70943","6","0","1967","72916","Included"
"2026-04-23T22:36:35.990Z","bc-bd79d0b1-791c-42c7-9462-4caeace4aba5","","Included","gpt-5.3-codex-high","Yes","0","74","1010","43","1127","Free"
"2026-04-23T22:26:40.294Z","bc-bd79d0b1-791c-42c7-9462-4caeace4aba5","","Included","gpt-5.3-codex-high","Yes","31389","53455","866062","19362","970268","Free"
"2026-04-23T22:24:50.782Z","","","Included","claude-opus-4-7-thinking-medium","No","62980","13","427615","12845","503453","Included"
"2026-04-23T22:24:40.681Z","","","Included","claude-opus-4-7-thinking-medium","No","40353","10","213589","9712","263664","Included"
"2026-04-23T22:24:29.929Z","","","Included","claude-opus-4-7-thinking-medium","No","89365","17","503381","14280","607043","Included"
"2026-04-23T22:23:52.607Z","","","Included","claude-opus-4-7-thinking-medium","No","103771","8","36950","7755","148484","Included"
"2026-04-23T03:32:27.795Z","","","Included","claude-opus-4-7-thinking-high","No","132097","1492","790190","2431","926210","Included"
"2026-04-23T03:25:24.510Z","","","Included","claude-opus-4-7-thinking-high","No","25376","2282","2181432","20894","2229984","Included"
"2026-04-23T03:19:40.649Z","","","Included","claude-opus-4-7-thinking-high","No","16371","1802","953115","4712","976000","Included"
"2026-04-23T03:16:51.784Z","","","Included","claude-opus-4-7-thinking-high","No","9167","1724","397438","2516","410845","Included"
"2026-04-23T03:14:32.579Z","","","Included","claude-opus-4-7-thinking-high","No","1455","9","260613","381","262458","Included"
"2026-04-23T03:07:10.605Z","","","Included","claude-opus-4-7-thinking-high","No","64264","2069","1203548","10896","1280777","Included"
"2026-04-10T14:04:43.399Z","","","Included","gpt-5.3-codex","No","0","1272","42048","914","44234","Included"
"2026-04-10T14:00:43.695Z","","","Included","gpt-5.3-codex","No","0","14769","28575","754","44098","Included"
"2026-04-10T13:56:19.121Z","","","Included","gpt-5.3-codex","No","0","22951","196153","3152","222256","Included"
"2026-04-10T13:54:32.867Z","","","Included","gpt-5.3-codex","No","0","17482","81280","1625","100387","Included"
"2026-04-05T11:39:17.255Z","","","Included","claude-4.6-opus-high-thinking","No","20855","1399","2071296","12735","2106285","Included"
"2026-04-05T11:34:43.794Z","","","Included","claude-4.6-opus-high-thinking","No","7296","1297","1206699","4511","1219803","Included"
"2026-04-05T11:29:03.960Z","","","Included","claude-4.6-opus-high-thinking","No","116826","3045","1545070","8311","1673252","Included"
"2026-04-05T11:15:55.799Z","","","Included","claude-4.6-opus-high-thinking","No","17553","8584","1409543","9411","1445091","Included"
"2026-04-05T11:07:55.635Z","","","Included","composer-2-fast","No","0","26525","47427","3518","77470","Included"
"2026-04-05T11:07:38.958Z","","","Included","claude-4.6-opus-high-thinking","No","82340","3921","862909","12818","961988","Included"
"2026-03-06T21:07:29.752Z","","","Included","composer-1.5","No","0","196053","343545","27323","566921","Included"
"2026-03-06T19:13:16.132Z","","","On-Demand","claude-4.6-opus-max-thinking","No","484398","107192","6436848","75489","7103927","9.27"
"2026-03-06T19:02:44.460Z","","","On-Demand","claude-4.6-opus-max-thinking","No","166689","24163","483987","13957","688796","1.63"
"2026-03-06T18:48:09.516Z","","","Included","composer-1.5","No","0","303886","363995","24652","692533","Included"
